School Name,Longitude,Latitude,Sequence
David T. Denny International School,-122.333402,47.541322,126
David T. Denny International School,-122.332555,47.540777,127
David T. Denny International School,-122.330602,47.53952,128
David T. Denny International School,-122.322496,47.534303,129
David T. Denny International School,-122.322019,47.534012,130
David T. Denny International School,-122.32198,47.533988,131
David T. Denny International School,-122.31835,47.531768,132
David T. Denny International School,-122.318335,47.531759,133
David T. Denny International School,-122.31741,47.531193,134
David T. Denny International School,-122.315059,47.529756,135
David T. Denny International School,-122.311592,47.527761,136
David T. Denny International School,-122.310623,47.527203,137
David T. Denny International School,-122.310042,47.526869,138
David T. Denny International School,-122.309176,47.525708,139
David T. Denny International School,-122.309044,47.525363,140
David T. Denny International School,-122.307438,47.521181,141
David T. Denny International School,-122.305647,47.516513,142
David T. Denny International School,-122.304631,47.513865,143
David T. Denny International School,-122.304593,47.513752,144
David T. Denny International School,-122.304769,47.513753,145
David T. Denny International School,-122.304803,47.513753,146
David T. Denny International School,-122.30553,47.513756,147
David T. Denny International School,-122.308036,47.513766,148
David T. Denny International School,-122.308213,47.513767,149
David T. Denny International School,-122.3086,47.513769,150
David T. Denny International School,-122.308987,47.51377,151
David T. Denny International School,-122.309879,47.513774,152
David T. Denny International School,-122.31048,47.513776,153
David T. Denny International School,-122.31067,47.513777,154
David T. Denny International School,-122.311422,47.51378,155
David T. Denny International School,-122.311833,47.513782,156
David T. Denny International School,-122.312145,47.513783,157
David T. Denny International School,-122.312181,47.513783,158
David T. Denny International School,-122.312183,47.513783,159
David T. Denny International School,-122.312796,47.514403,160
David T. Denny International School,-122.312802,47.514408,161
David T. Denny International School,-122.313101,47.514711,162
David T. Denny International School,-122.31323,47.514842,163
David T. Denny International School,-122.313231,47.514843,164
David T. Denny International School,-122.313273,47.514885,165
David T. Denny International School,-122.313391,47.515004,166
David T. Denny International School,-122.313434,47.515004,167
David T. Denny International School,-122.313616,47.515005,168
David T. Denny International School,-122.313618,47.515006,169
David T. Denny International School,-122.313683,47.515006,170
David T. Denny International School,-122.313681,47.515006,171
David T. Denny International School,-122.314344,47.515011,172
David T. Denny International School,-122.314371,47.515011,173
David T. Denny International School,-122.314611,47.515013,174
David T. Denny International School,-122.314952,47.515016,175
David T. Denny International School,-122.315104,47.515009,176
David T. Denny International School,-122.315108,47.515009,177
David T. Denny International School,-122.315112,47.515008,178
David T. Denny International School,-122.315262,47.514994,179
David T. Denny International School,-122.315414,47.514971,180
David T. Denny International School,-122.31553,47.514947,181
David T. Denny International School,-122.315562,47.51494,182
David T. Denny International School,-122.315677,47.51491,183
David T. Denny International School,-122.315837,47.514868,184
David T. Denny International School,-122.316126,47.514792,185
David T. Denny International School,-122.316146,47.514787,186
David T. Denny International School,-122.316263,47.514756,187
David T. Denny International School,-122.316329,47.514744,188
David T. Denny International School,-122.316396,47.514736,189
David T. Denny International School,-122.316464,47.514731,190
