School Name,Longitude,Latitude,Sequence
Franklin High School,-122.2665279,47.5673825,126
Franklin High School,-122.2651477,47.56624501,127
Franklin High School,-122.2646877,47.56479557,128
Franklin High School,-122.2640786,47.56398558,129
Franklin High School,-122.264078,47.5639354,130
Franklin High School,-122.2640703,47.56323419,131
Franklin High School,-122.2632862,47.56282106,132
Franklin High School,-122.2627633,47.5625456,133
Franklin High School,-122.2620776,47.56112023,134
Franklin High School,-122.2614049,47.55972193,135
Franklin High School,-122.2603674,47.55871331,136
Franklin High School,-122.2595075,47.55787728,137
Franklin High School,-122.2594891,47.55747705,138
Franklin High School,-122.2594392,47.55639173,139
Franklin High School,-122.2587022,47.55494886,140
Franklin High School,-122.2579633,47.55350191,141
Franklin High School,-122.2587039,47.55305948,142
Franklin High School,-122.2593293,47.5510478,143
Franklin High School,-122.2597251,47.5510806,144
Franklin High School,-122.2599184,47.55108623,145
Franklin High School,-122.2602105,47.55109094,146
Franklin High School,-122.2602385,47.55109139,147
Franklin High School,-122.260309,47.55109253,148
Franklin High School,-122.2605231,47.55109598,149
Franklin High School,-122.2607916,47.55109724,150
Franklin High School,-122.2611099,47.55109873,151
Franklin High School,-122.2621732,47.55110371,152
Franklin High School,-122.2621733,47.55110371,153
Franklin High School,-122.262541,47.55110543,154
Franklin High School,-122.2625412,47.55110545,155
Franklin High School,-122.2658645,47.55112109,156
Franklin High School,-122.267266,47.55112765,157
Franklin High School,-122.2672607,47.55038207,158
Franklin High School,-122.2672636,47.55038208,159
Franklin High School,-122.2672636,47.55038203,160
Franklin High School,-122.276942,47.55042653,161
Franklin High School,-122.277265,47.550428,162
Franklin High School,-122.2772055,47.55014138,163
Franklin High School,-122.2771346,47.54970395,164
Franklin High School,-122.2770876,47.54941993,165
Franklin High School,-122.2770092,47.54894544,166
Franklin High School,-122.27697,47.54881083,167
Franklin High School,-122.2769681,47.54880983,168
Franklin High School,-122.2767711,47.54760826,169
Franklin High School,-122.2767701,47.54760203,170
Franklin High School,-122.2766722,47.54702502,171
Franklin High School,-122.2766694,47.54701935,172
Franklin High School,-122.2766692,47.54701148,173
Franklin High School,-122.2766555,47.54695739,174
Franklin High School,-122.2766152,47.54683153,175
Franklin High School,-122.2765686,47.54672079,176
Franklin High School,-122.2765006,47.54659169,177
Franklin High School,-122.2764192,47.54646618,178
Franklin High School,-122.2763885,47.54642445,179
Franklin High School,-122.2763868,47.54642423,180
Franklin High School,-122.2763848,47.54641959,181
Franklin High School,-122.2763272,47.5463473,182
Franklin High School,-122.2763052,47.54632307,183
Franklin High School,-122.2762297,47.54623985,184
Franklin High School,-122.2761366,47.54615011,185
Franklin High School,-122.2759905,47.54602849,186
Franklin High School,-122.2759886,47.54602662,187
Franklin High School,-122.2754646,47.54562892,188
Franklin High School,-122.274659,47.54501782,189
Franklin High School,-122.2746107,47.5449812,190
Franklin High School,-122.2745878,47.5449638,191
Franklin High School,-122.2745859,47.54496117,192
Franklin High School,-122.2745817,47.54495916,193
Franklin High School,-122.2745783,47.54495752,194
Franklin High School,-122.2745764,47.54495658,195
Franklin High School,-122.2745716,47.54495151,196
Franklin High School,-122.2745079,47.54490321,197
Franklin High School,-122.2744853,47.5448713,198
Franklin High School,-122.2743731,47.54471332,199
Franklin High School,-122.2742699,47.54456796,200
Franklin High School,-122.2741556,47.54440701,201
Franklin High School,-122.2740484,47.54425593,202
Franklin High School,-122.273699,47.54375469,203
Franklin High School,-122.2735305,47.543513,204
Franklin High School,-122.2733751,47.54327712,205
Franklin High School,-122.2729284,47.54264117,206
Franklin High School,-122.2722522,47.54167445,207
Franklin High School,-122.2715753,47.54069305,208
Franklin High School,-122.2709748,47.53983279,209
Franklin High School,-122.2726538,47.53979865,210
Franklin High School,-122.2726646,47.53694982,211
Franklin High School,-122.2748806,47.53694288,212
Franklin High School,-122.2753396,47.53706312,213
Franklin High School,-122.2767016,47.5370596,214
Franklin High School,-122.2780502,47.53705609,215
Franklin High School,-122.2793988,47.53705256,216
Franklin High School,-122.2812093,47.53704883,217
Franklin High School,-122.2834865,47.5417666,218
Franklin High School,-122.2838186,47.54245523,219
Franklin High School,-122.2863818,47.54246902,220
Franklin High School,-122.2872932,47.54247691,221
Franklin High School,-122.2888069,47.54248605,222
Franklin High School,-122.2894076,47.54248968,223
Franklin High School,-122.2902717,47.54249489,224
Franklin High School,-122.290272,47.54251183,225
Franklin High School,-122.2902721,47.54252062,226
Franklin High School,-122.2914878,47.5425332,227
Franklin High School,-122.2916724,47.54253511,228
Franklin High School,-122.2917096,47.5425371,229
Franklin High School,-122.2918464,47.54254443,230
Franklin High School,-122.2918701,47.5425457,231
Franklin High School,-122.2919436,47.54264819,232
Franklin High School,-122.2927615,47.54264796,233
Franklin High School,-122.2927647,47.54264796,234
Franklin High School,-122.2936403,47.54264727,235
Franklin High School,-122.2955054,47.54264931,236
Franklin High School,-122.2958173,47.54264976,237
Franklin High School,-122.2968953,47.54264904,238
Franklin High School,-122.2992227,47.54270956,239
Franklin High School,-122.2994888,47.54267394,240
Franklin High School,-122.299543,47.54287921,241
Franklin High School,-122.3004068,47.54574049,242
Franklin High School,-122.3006007,47.54637929,243
Franklin High School,-122.3006904,47.5463817,244
Franklin High School,-122.3023388,47.54642609,245
Franklin High School,-122.3057849,47.54650678,246
Franklin High School,-122.3058152,47.54651376,247
Franklin High School,-122.305944,47.54652227,248
Franklin High School,-122.306168,47.54653386,249
Franklin High School,-122.3061769,47.54653433,250
Franklin High School,-122.3062082,47.54654583,251
Franklin High School,-122.3063783,47.54660852,252
Franklin High School,-122.3064456,47.54663076,253
Franklin High School,-122.3066369,47.54673714,254
Franklin High School,-122.3067777,47.54685374,255
Franklin High School,-122.3068109,47.54687486,256
Franklin High School,-122.3068764,47.54693951,257
Franklin High School,-122.3069718,47.54700946,258
Franklin High School,-122.3070615,47.5470634,259
Franklin High School,-122.3071874,47.5471099,260
Franklin High School,-122.3072582,47.54712599,261
Franklin High School,-122.3073592,47.54713092,262
Franklin High School,-122.3074809,47.5471309,263
Franklin High School,-122.3075981,47.54710044,264
Franklin High School,-122.3077002,47.54706967,265
Franklin High School,-122.3077768,47.5470433,266
Franklin High School,-122.3079367,47.54698097,267
Franklin High School,-122.3079408,47.5469789,268
Franklin High School,-122.3079963,47.54697281,269
Franklin High School,-122.3084003,47.54677182,270
Franklin High School,-122.3158073,47.54306227,271
Franklin High School,-122.3178023,47.54016012,272
Franklin High School,-122.3188263,47.53717678,273
Franklin High School,-122.3188407,47.53713483,274
Franklin High School,-122.3188395,47.53713467,275
Franklin High School,-122.3191075,47.53631806,276
Franklin High School,-122.3198331,47.53531321,277
Franklin High School,-122.319853,47.53528566,278
Franklin High School,-122.3198708,47.53527479,279
Franklin High School,-122.3209682,47.53460512,280
Franklin High School,-122.3219799,47.53398773,281
Franklin High School,-122.3220188,47.53401153,282
Franklin High School,-122.3325549,47.54077696,283
Franklin High School,-122.333473,47.54139156,284
Franklin High School,-122.3340778,47.54198389,285
Franklin High School,-122.3348131,47.54270402,286
Franklin High School,-122.3349586,47.5428465,287
Franklin High School,-122.3372943,47.54513386,288
Franklin High School,-122.3373757,47.54527215,289
Franklin High School,-122.338001,47.54633334,290
Franklin High School,-122.3381115,47.54652075,291
Franklin High School,-122.3384224,47.54704839,292
Franklin High School,-122.3394516,47.54879499,293
Franklin High School,-122.3406268,47.55084218,294
Franklin High School,-122.342284,47.55372874,295
Franklin High School,-122.3423029,47.55376155,296
Franklin High School,-122.3433044,47.55550577,297
Franklin High School,-122.3437057,47.55620476,298
Franklin High School,-122.3459028,47.56100792,299
Franklin High School,-122.3466843,47.56271629,300
Franklin High School,-122.347061,47.56353954,301
Franklin High School,-122.3473772,47.56465886,302
Franklin High School,-122.3475882,47.56540567,303
Franklin High School,-122.3455506,47.57103852,304
Franklin High School,-122.3445917,47.57353047,305
Franklin High School,-122.3445666,47.58111952,306
Franklin High School,-122.3445341,47.59096895,307
Franklin High School,-122.3447227,47.5913189,308
Franklin High School,-122.3450004,47.591834,309
Franklin High School,-122.3432074,47.59643197,310
Franklin High School,-122.3409974,47.59644124,311
Franklin High School,-122.3408338,47.59644516,312
Franklin High School,-122.3403753,47.59644405,313
Franklin High School,-122.3359145,47.59646799,314
Franklin High School,-122.3341923,47.59646866,315
Franklin High School,-122.3331295,47.59648028,316
Franklin High School,-122.3292459,47.59652264,317
Franklin High School,-122.3290996,47.59652424,318
Franklin High School,-122.3289122,47.59642252,319
Franklin High School,-122.3287015,47.59631098,320
Franklin High School,-122.328403,47.59615943,321
Franklin High School,-122.3282005,47.59605094,322
Franklin High School,-122.3280705,47.59598867,323
Franklin High School,-122.3278039,47.59589276,324
Franklin High School,-122.3277442,47.59587127,325
Franklin High School,-122.3273707,47.59583746,326
Franklin High School,-122.3269212,47.59584079,327
Franklin High School,-122.3202561,47.59582493,328
Franklin High School,-122.3157148,47.59581886,329
Franklin High School,-122.3152761,47.59581926,330
Franklin High School,-122.3143084,47.59582012,331
Franklin High School,-122.312823,47.59581502,332
Franklin High School,-122.3125591,47.59581473,333
Franklin High School,-122.3122684,47.59581343,334
Franklin High School,-122.3122037,47.59581331,335
Franklin High School,-122.3121634,47.5958137,336
Franklin High School,-122.3120631,47.5958221,337
Franklin High School,-122.3120293,47.59582494,338
Franklin High School,-122.3118528,47.59584223,339
Franklin High School,-122.3115296,47.5958739,340
Franklin High School,-122.3114903,47.5958226,341
Franklin High School,-122.3072099,47.59021213,342
Franklin High School,-122.3068883,47.58979956,343
Franklin High School,-122.302173,47.58997436,344
Franklin High School,-122.2975343,47.58993953,345
Franklin High School,-122.2947942,47.58998018,346
Franklin High School,-122.2924129,47.58996884,347
Franklin High School,-122.2913606,47.58994976,348
Franklin High School,-122.2904584,47.59000097,349
Franklin High School,-122.2892245,47.58998707,350
Franklin High School,-122.286348,47.58990277,351
Franklin High School,-122.2834215,47.5898405,352
Garfield High School,-122.2968686,47.64777432,353
Garfield High School,-122.2943108,47.64796755,354
Garfield High School,-122.2927762,47.64764514,355
Garfield High School,-122.2908566,47.6483072,356
Garfield High School,-122.2890092,47.64810616,357
Garfield High School,-122.2878947,47.64749964,358
Garfield High School,-122.2866105,47.64737266,359
Garfield High School,-122.2857487,47.64699218,360
Garfield High School,-122.2850846,47.64603832,361
Garfield High School,-122.2850616,47.64515677,362
Garfield High School,-122.2844671,47.64479422,363
Garfield High School,-122.2833752,47.64412839,364
Garfield High School,-122.2822534,47.64401765,365
Garfield High School,-122.2787331,47.64426616,366
Garfield High School,-122.2784422,47.64428669,367
Garfield High School,-122.2772787,47.64410812,368
Garfield High School,-122.2766725,47.64380387,369
Garfield High School,-122.2761299,47.64353156,370
Garfield High School,-122.2751653,47.64248348,371
Garfield High School,-122.2749171,47.64237099,372
Garfield High School,-122.2737332,47.64183422,373
Garfield High School,-122.2731602,47.64111629,374
Garfield High School,-122.2731587,47.64010136,375
Garfield High School,-122.2731578,47.63955037,376
Garfield High School,-122.273715,47.63880648,377
Garfield High School,-122.2733572,47.63774352,378
Garfield High School,-122.2733193,47.63763107,379
Garfield High School,-122.2733983,47.6375012,380
Garfield High School,-122.2743351,47.63596127,381
Garfield High School,-122.2737706,47.63530927,382
Garfield High School,-122.2735054,47.6350031,383
Garfield High School,-122.2737122,47.63319264,384
Garfield High School,-122.2742559,47.63245097,385
Garfield High School,-122.2743717,47.63229295,386
Garfield High School,-122.2749485,47.63016575,387
Garfield High School,-122.2754489,47.62958539,388
Garfield High School,-122.2762094,47.62923887,389
Garfield High School,-122.2765281,47.62788557,390
Garfield High School,-122.2795898,47.62534559,391
Garfield High School,-122.2805319,47.62411409,392
Garfield High School,-122.280393,47.62329564,393
Garfield High School,-122.2789516,47.62244993,394
Garfield High School,-122.2775636,47.62084315,395
Garfield High School,-122.2780103,47.61919293,396
Garfield High School,-122.2778355,47.61674663,397
Garfield High School,-122.278484,47.61483164,398
Garfield High School,-122.2790026,47.61423869,399
Garfield High School,-122.2790618,47.61181722,400
Garfield High School,-122.2798093,47.61096516,401
Garfield High School,-122.2799023,47.60968934,402
Garfield High School,-122.2806565,47.60818939,403
Garfield High School,-122.2810626,47.60428403,404
Garfield High School,-122.2817585,47.60310103,405
Garfield High School,-122.2818812,47.60155666,406
Garfield High School,-122.2829881,47.60039822,407
Garfield High School,-122.2831016,47.59890771,408
Garfield High School,-122.2839794,47.59752902,409
Garfield High School,-122.2847876,47.59497127,410
Garfield High School,-122.2850821,47.59328318,411
Garfield High School,-122.2840951,47.59180062,412
Garfield High School,-122.2834215,47.5898405,413
Garfield High School,-122.286348,47.58990277,414
Garfield High School,-122.2892245,47.58998707,415
Garfield High School,-122.2904584,47.59000097,416
Garfield High School,-122.2913606,47.58994976,417
Garfield High School,-122.2924129,47.58996884,418
Garfield High School,-122.2947942,47.58998018,419
Garfield High School,-122.2975343,47.58993953,420
Garfield High School,-122.302173,47.58997436,421
Garfield High School,-122.3068883,47.58979956,422
Garfield High School,-122.3072099,47.59021213,423
Garfield High School,-122.3114903,47.5958226,424
Garfield High School,-122.3115296,47.5958739,425
Garfield High School,-122.3118528,47.59584223,426
Garfield High School,-122.3120293,47.59582494,427
Garfield High School,-122.3120631,47.5958221,428
Garfield High School,-122.3121634,47.5958137,429
Garfield High School,-122.3122037,47.59581331,430
Garfield High School,-122.3122684,47.59581343,431
